City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
439,Constitucion,CL,-35.3333,-72.4167,49.86,84,1,10.04,clear sky
440,Mitsamiouli,KM,-11.3847,43.2844,80.22,79,57,11.03,broken clouds
441,Puerto Escondido,MX,15.85,-97.0667,77.59,83,84,3.4,broken clouds
442,Mercedes,AR,-34.6515,-59.4307,53.83,74,0,5.84,clear sky
443,Chokurdakh,RU,70.6333,147.9167,-2.72,98,98,4.29,overcast clouds
444,Dakar,SN,14.6937,-17.4441,78.93,73,40,0,scattered clouds
445,Saint-Louis,SN,16.3333,-15,83.52,26,87,3.06,overcast clouds
446,Karratha,AU,-20.7377,116.8463,92.52,23,4,16.89,clear sky
447,Ertil,RU,51.8406,40.8056,36.73,82,18,7.76,few clouds
448,Burnie,AU,-41.0667,145.9167,59.94,45,30,9.62,scattered clouds
449,Labuan,MY,5.2767,115.2417,87.96,75,100,6.22,light rain
450,Mamallapuram,IN,12.6264,80.1722,91.45,62,100,0.89,overcast clouds
451,Cayenne,GF,4.9333,-52.3333,80.1,88,20,1.01,few clouds
452,Aquiraz,BR,-3.9014,-38.3911,84.22,68,57,9.93,broken clouds
453,Berlevag,NO,70.8578,29.0864,36.48,65,78,20.74,light rain
454,Hirara,JP,24.8,125.2833,76.71,69,71,14,broken clouds
455,Molina,CL,-35.1167,-71.2833,51.53,66,39,3.44,scattered clouds
456,Pingliang,CN,35.5392,106.6861,55.78,57,65,7.05,broken clouds
457,Hof,DE,50.3167,11.9167,36.1,88,5,5.99,clear sky
458,Ongole,IN,15.5,80.05,86.63,56,74,7.27,broken clouds
459,Gamba,GA,-2.65,10,76.03,87,100,2.33,light rain
460,Bac Lieu,VN,9.285,105.7244,85.62,71,66,7.76,broken clouds
461,Jardim,BR,-21.4803,-56.1381,70.79,94,100,4.47,moderate rain
462,Enid,US,36.3956,-97.8784,77.14,69,90,5.01,overcast clouds
463,Alofi,NU,-19.0595,-169.9187,73.29,64,96,11.5,overcast clouds
464,Jackson,US,42.4165,-122.8345,57.07,70,90,16.11,overcast clouds
465,Caraballeda,VE,10.6112,-66.8522,78.87,83,75,2.3,broken clouds
466,Maua,BR,-23.6678,-46.4614,73.36,97,100,2.57,moderate rain
467,Placido De Castro,BR,-10.3353,-67.1856,78.71,73,70,3.29,broken clouds
468,Bani Walid,LY,31.7566,13.9942,75.36,43,100,8.12,overcast clouds
469,Dobson,US,36.3957,-80.7226,58.41,90,50,0.83,scattered clouds
470,Santiago De Cao,PE,-7.9589,-79.2392,62.26,89,40,11.77,scattered clouds
471,Sitka,US,57.0531,-135.33,44.49,81,75,11.5,light rain
